,level_0,index,review_title,review_comment,review_star_rating,asin,comments_no_stopwords,neg,neu,pos,compound,sentiment
10,10,10,Great value and works well,The cables work well and are very useful for leaving in different chargers or different vehicles. The price is great because you get three cables and they all work well. No issues experienced so far.,5,B0D2X7Y7VF,The cables work well useful leaving different chargers different vehicles. The price great get three cables work well. No issues experienced far.,0.072,0.559,0.368,0.8402,1
11,11,11,Durable and fast charging,"These charging cables are great, charge very fast and strong build. They save me lots of time. Length and colorful design are very nice. Price is affordable, very good value. Highly recommend for home, car, or office.",5,B0D2X7Y7VF,"These charging cables great, charge fast strong build. They save lots time. Length colorful design nice. Price affordable, good value. Highly recommend home, car, office.",0.0,0.456,0.544,0.9661,1
12,12,12,Very fast charger,"In terms of value, this charger is worth every penny. Its affordable price point makes it accessible to a wide range of users, and the quality far surpasses other chargers in the same price range. Plus, the peace of mind that comes with knowing my devices are charging safely and efficiently is priceless.",5,B0D2X7Y7VF,"In terms value, charger worth every penny. Its affordable price point makes accessible wide range users, quality far surpasses chargers price range. Plus, peace mind comes knowing devices charging safely efficiently priceless.",0.0,0.663,0.337,0.9136,1
13,13,13,Fantastic charger cords,These charger cords are fantastic. They feel durable and perform really well. I love that they are not plain white. They do also have a good length. This way I can charge my devices better and even use them while lying down a little distance away.,5,B0D2X7Y7VF,These charger cords fantastic. They feel durable perform really well. I love plain white. They also good length. This way I charge devices better even use lying little distance away.,0.082,0.528,0.39,0.9165,1
14,14,14,2 of the stopped working,After I used once 2 of this product stopped working for third one is barely works very cheap quality. Returning!,1,B0D2X7Y7VF,After I used 2 product stopped working third one barely works cheap quality. Returning!,0.166,0.834,0.0,-0.2942,0
15,15,15,Good quality,This is good quality cable and works great.,5,B0D2X7Y7VF,This good quality cable works great.,0.0,0.364,0.636,0.7906,1
16,16,16,Pleased with the chargers,They are working as well and as expected. I purchased charge blocks separately that have multiple ports on each block. Pleased with these. Finally have enough lightening chargers for our devices!,5,B0D2X7Y7VF,They working well expected. I purchased charge blocks separately multiple ports block. Pleased these. Finally enough lightening chargers devices!,0.199,0.581,0.22,0.126,1
17,17,17,Love,Shipping was fast!!!! These USB charger works amazing. Charging is fast and the cord is long enough where you dont have to sit eactly next to a plug if you need to use your phone and the price is very affordable for three USB charger. I would totally recommend.,5,B0D2X7Y7VF,Shipping fast!!!! These USB charger works amazing. Charging fast cord long enough dont sit eactly next plug need use phone price affordable three USB charger. I would totally recommend.,0.0,0.77,0.23,0.8299,1
18,18,18,Fast charger,This is a great fast charger for the price. So cheap and it charges my phone pretty quick!,5,B0D2X7Y7VF,This great fast charger price. So cheap charges phone pretty quick!,0.132,0.445,0.422,0.7362,1
19,19,19,Does the job !!!!!,I like how it arrived fast !!!! And specifically loved the colors 😍 !!! Another thing I like about it the cable is long enough &&& it CHARGES SUPER FAST . Literally left my phone charge for like 10 mins and from 27% to 49% or even more . Try it !! Buy it !! You won’t regret it !!!,5,B0D2X7Y7VF,I like arrived fast !!!! And specifically loved colors 😍 !!! Another thing I like cable long enough &&& CHARGES SUPER FAST . Literally left phone charge like 10 mins 27% 49% even . Try !! Buy !! You won’t regret !!!,0.107,0.568,0.326,0.9112,1
20,20,20,Excellent chargers,"These chargers work well and are a great value.  You get three USB-C chargers and cables for what you'd typically pay for one.  The size is small so they work well in power strips and other outlets.  Most importantly, the included USB-C to lightning cables charge my iPhone and iPad quickly and safely.  I was also able to use the chargers with a separate cable (not supplied) for an Android tablet.",5,B0D12T4WZT,"These chargers work well great value. You get three USB-C chargers cables typically pay one. The size small work well power strips outlets. Most importantly, included USB-C lightning cables charge iPhone iPad quickly safely. I also able use chargers separate cable (not supplied) Android tablet.",0.026,0.674,0.3,0.9336,1
21,21,21,Unbeatable offer,"So glad I took the decision to by these phone chargers with long enough cables. Do not worry about More than excellent charging speed. Did not experiance any events while charging together with ^ feet long cable, that helps a distant socket at work. never regreted my purchase",5,B0D12T4WZT,"So glad I took decision phone chargers long enough cables. Do worry More excellent charging speed. Did experiance events charging together ^ feet long cable, helps distant socket work. never regreted purchase",0.075,0.67,0.255,0.7897,1
22,22,22,iPhone chargers are fantastic!,"These 3 iPhone chargers are perfect for what I need!!  They seem well constructed, with the cord being thick enough that they won’t easily become bent or severed, and the plug in box seems like it charges them quicker than the others I have.  Not for sure, but it seems like it.  Great cords at an extremely reasonable price!!",5,B0D12T4WZT,"These 3 iPhone chargers perfect I need!! They seem well constructed, cord thick enough won’t easily become bent severed, plug box seems like charges quicker others I have. Not sure, seems like it. Great cords extremely reasonable price!!",0.129,0.51,0.362,0.917,1
23,23,23,Fast charge,These chargers are great! They charge my phone up quickly (my phone was dead and is now at 26% in less than 5 minutes!) and I love the length of the cables! Very useful to reach different spaces and sturdy enough to last a good long time.,5,B0D12T4WZT,These chargers great! They charge phone quickly (my phone dead 26% less 5 minutes!) I love length cables! Very useful reach different spaces sturdy enough last good long time.,0.103,0.504,0.393,0.9015,1
24,24,24,Super fast charging!,I got the 3 pack of these and could only take a picture of the one bc one is being used to charge my phone and my little has the other. I love the bigger usb-c boxes. They are quick to charge which is what my daughter needs...her phone stays dead! They were a great price and arrived fast! Excellent purchase and great customer service!,5,B0D12T4WZT,I got 3 pack could take picture one bc one used charge phone little other. I love bigger usb-c boxes. They quick charge daughter needs...her phone stays dead! They great price arrived fast! Excellent purchase great customer service!,0.084,0.588,0.327,0.9246,1
25,25,25,Exactly what I needed,"Inexpensive, does the job, we’ll packaged, and charges as it should. These are a great buy and I like that they’re usb c  so the cords are compatible with my MacBook.",5,B0D12T4WZT,"Inexpensive, job, we’ll packaged, charges should. These great buy I like they’re usb c cords compatible MacBook.",0.101,0.58,0.319,0.6705,1
26,26,26,Best Charger Ever,"Best charger ever!
The price is amazing! And the charges are great!
The quality is great! You need to buy this charges.
3 come in the package in case you wanna take one to your car, have one home and the other one at work!
Thank you they are great!  🤍",5,B0D12T4WZT,"Best charger ever! The price amazing! And charges great! The quality great! You need buy charges. 3 come package case wanna take one car, one home one work! Thank great! 🤍",0.085,0.427,0.487,0.9711,1
27,27,27,Great Quality,"These charging cords are great! I’m very impressed by them. They are nice and thick cords, don’t kink or tangle. They have nice tight connections with no wiggle room. They charge FAST! I would definitely recommend!",5,B0D12T4WZT,"These charging cords great! I’m impressed them. They nice thick cords, don’t kink tangle. They nice tight connections wiggle room. They charge FAST! I would definitely recommend!",0.0,0.514,0.486,0.9576,1
28,28,28,Good charger,"I Iike this charger, it charges my phone fast and the cable is long which give me more flexiblity and I love that they are 3 chargers incase I lost or misplace 1, I have another. Its a must buy.",5,B0D12T4WZT,"I Iike charger, charges phone fast cable long give flexiblity I love 3 chargers incase I lost misplace 1, I another. Its must buy.",0.179,0.65,0.171,0.2023,1
29,29,29,3 USB C Charger For An Amazing Price,I love the fast charging and sturdy cord.  It is really an amazing deal and the length of the cord makes it accessible in my area that I work and play.  I would recommend this product to everyone who knows value for money.,5,B0D12T4WZT,I love fast charging sturdy cord. It really amazing deal length cord makes accessible area I work play. I would recommend product everyone knows value money.,0.0,0.536,0.464,0.9392,1
30,30,30,"Beats Solo 4: Great, Everyday, light on-ear headphones!","I had a very old, beat-up pair of the Beats Solo 3 headphones from awhile ago. I saw these Beats Solo 4 on sale for $150 in a beautiful slate blue color on Amazon and (hesitant at first) jumped on the deal! Do not listen to the bad reviews…these headphones are NOT meant to be the most TOP, TOP $700 quality ANC over-ear headphones. The Beats Solo 4 are phenomenal at what they are intended for: casual use, bring where ever, much improved sound quality, lightweight, good battery, stylish, comfortable, excellent performance, efficient case/storage (yes to cable/plug storage area!!), and USB-C charging. So glad I decided to bite the bullet and take the risk - don’t let the haters rebuke these headphones: they have been truly awesome for me 🎧🔊😁!",5,B0CZPHPJLN,"I old, beat-up pair Beats Solo 3 headphones awhile ago. I saw Beats Solo 4 sale $150 beautiful slate blue color Amazon (hesitant first) jumped deal! Do listen bad reviews…these headphones NOT meant TOP, TOP $700 quality ANC over-ear headphones. The Beats Solo 4 phenomenal intended for: casual use, bring ever, much improved sound quality, lightweight, good battery, stylish, comfortable, excellent performance, efficient case/storage (yes cable/plug storage area!!), USB-C charging. So glad I decided bite bullet take risk - don’t let haters rebuke headphones: truly awesome 🎧🔊😁!",0.117,0.573,0.31,0.9705,1
31,31,31,W headphones,"hey yall i took time out of my day to write the most honest review ab these headphones:

- the sound is great
-starts to become a bit uncomfortable after wearing them for too long
-NOT sweat proof
-NOT waterproof

it also comes with a charger and a wire to connect to a phone, laptop, etc. it is also bluetooth. it also comes w a case.

honestly i rate these a 8/10 mostly bc they are uncomfortable on my ears sometimes. also they don't fall off coming from someone who has a small head but i usually use these for the gym n it's rlly nice. i recommend getting the pros if ur looking for a more comfortable feeling on ur ears tho. or honestly maybe my ears r just big ion know

 other than that these aren't even bad and they're a W

and also the battery life is so good i used it for 7 hours and it was on 60%

go buy rn if ur looking for some good quality headphones 😩😩😩",4,B0CZPHPJLN,"hey yall took time day write honest review ab headphones: - sound great -starts become bit uncomfortable wearing long -NOT sweat proof -NOT waterproof also comes charger wire connect phone, laptop, etc. also bluetooth. also comes w case. honestly rate 8/10 mostly bc uncomfortable ears sometimes. also fall coming someone small head usually use gym n rlly nice. recommend getting pros ur looking comfortable feeling ur ears tho. honestly maybe ears r big ion know even bad they're W also battery life good used 7 hours 60% go buy rn ur looking good quality headphones 😩😩😩",0.076,0.67,0.255,0.9618,1
32,32,32,Where sophisticated meets sound quality!,"Impressive sound, stylish and sophisticated headphones. I personally like how it's not complete noise cancelation since I like to be aware of environment around me. So this headphone is amazing for the right reasons. Quality, style, sound, and safety. Not to mention how sleek it is. Finally headphones that are not bulky or heavy. I appreciate the smooth texture feel and the cushioned headband part. It's also easy to pair with my Samsung Galaxy S24 Ultra. Blue slate color is classy, too! Excellent product!",5,B0CZPHPJLN,"Impressive sound, stylish sophisticated headphones. I personally like complete noise cancelation since I like aware environment around me. So headphone amazing right reasons. Quality, style, sound, safety. Not mention sleek is. Finally headphones bulky heavy. I appreciate smooth texture feel cushioned headband part. It's also easy pair Samsung Galaxy S24 Ultra. Blue slate color classy, too! Excellent product!",0.0,0.588,0.412,0.9842,1
33,33,33,Noise cancellation!,Really love these. Cute color! They fit nice and comfortable. The noise cancellation is great I cannot hear anything outside of my music which is what I was looking for. You can definitely go for a run with these and they are not moving!,5,B0CZPHPJLN,Really love these. Cute color! They fit nice comfortable. The noise cancellation great I cannot hear anything outside music I looking for. You definitely go run moving!,0.0,0.431,0.569,0.9743,1
34,34,34,I Really Wanted to Like These,"I have always been one to ignore Beats headphones, but recently, I decided to try a pair of the Beats Studio Pros because they were on an irresistible sale. I was more impressed with them than I thought, even with some of their shortcomings.

Which is why I decided to give the new Solo 4s a try. For me, these simply didn't have enough for me to keep them in my collection, particularly given that I own the Studio Pros.

Recently, I have become a fan of on-ear headphones (as distinct from over-ear). I own the Skullcandy Riff 2, the Sony WH-CH520, and the JBL Live 670. The Solo 4s are the only ones I've returned. And it's not because they were so offensive or horrible; they simply didn't add anything to my collection.

First of all, the clamping force was inordinately tight for my head. Normally, this doesn't bother me. But these simply were too uncomfortable from the moment I put them on, and they only got worse the longer I wore them.

Then there was the sound. Like I said, I own the Beats Studio Pros, and have an appreciation for what they are and what they do. Even though they don't have the ability to be EQed, which I prefer, I like them in and of themselves and enjoy the sound they provide. The Solo 4s are similar in that they are a what-you-get-is-what-you-get sound. In this case, however, I found myself wishing for an equalizer. They sounded thin and harsh, not full like the Studio Pros.

When I compared them to my other Bluetooth headphones, I couldn't justify keeping them in the collection. To be fair, there was a lot to like about them: the iPhone and Android compatibility, the folding design, the carrying case, and the look/style. However, the comfort and sound were just too much of a negative for me.

I can see that many people will like these a lot, and I'm glad. They fill a niche and they fill it well. But for me, there are just too many other options I like better.",3,B0CZPHPJLN,"I always one ignore Beats headphones, recently, I decided try pair Beats Studio Pros irresistible sale. I impressed I thought, even shortcomings. Which I decided give new Solo 4s try. For me, simply enough keep collection, particularly given I Studio Pros. Recently, I become fan on-ear headphones (as distinct over-ear). I Skullcandy Riff 2, Sony WH-CH520, JBL Live 670. The Solo 4s ones I've returned. And offensive horrible; simply add anything collection. First all, clamping force inordinately tight head. Normally, bother me. But simply uncomfortable moment I put on, got worse longer I wore them. Then sound. Like I said, I Beats Studio Pros, appreciation do. Even though ability EQed, I prefer, I like enjoy sound provide. The Solo 4s similar what-you-get-is-what-you-get sound. In case, however, I found wishing equalizer. They sounded thin harsh, full like Studio Pros. When I compared Bluetooth headphones, I justify keeping collection. To fair, lot like them: iPhone Android compatibility, folding design, carrying case, look/style. However, comfort sound much negative me. I see many people like lot, I'm glad. They fill niche fill well. But me, many options I like better.",0.109,0.639,0.252,0.9842,1
35,35,35,Some Awesome Headphones!,"These are some awesome headphones!
While they don’t have noise canceling, the battery, Performance, fit, and quality are pretty top notch.
The sound is fantastic and they just seem to be well made!
I got mine on sale for 150, plus I had a $20 gift card, so I only paid 130 before taxes. For that price point, they are awesome!
I highly recommend these headphones, and the battery still holds its out-of-package charge.",5,B0CZPHPJLN,"These awesome headphones! While don’t noise canceling, battery, Performance, fit, quality pretty top notch. The sound fantastic seem well made! I got mine sale 150, plus I $20 gift card, I paid 130 taxes. For price point, awesome! I highly recommend headphones, battery still holds out-of-package charge.",0.0,0.549,0.451,0.9798,1
36,36,36,Very disappointed,"Never had expensive headphones. But this one is crap. There is no bass at all, doesn't have noise canceling. I can hear other noise around me. My earbuds have more bass and more loud and I bought them for $30. Just wasted money. By the way, I connected them to my Samsung Note 10 plus, played with equalizer, still sound is terrible. Not recommending at all. Lies about battery life, up to 40 hours.",1,B0CZPHPJLN,"Never expensive headphones. But one crap. There bass all, noise canceling. I hear noise around me. My earbuds bass loud I bought $30. Just wasted money. By way, I connected Samsung Note 10 plus, played equalizer, still sound terrible. Not recommending all. Lies battery life, 40 hours.",0.208,0.685,0.107,-0.7752,0
37,37,37,Great Value. Amazing Headphones.,"Top quality, feels very luxurious. Love the spatial audio feature. Beautiful white-baby-pink. Works with both USB-C and Jack. The only thing I would say, maybe because they are new but it feels a bit stiff/tight around the head.",4,B0CZPHPJLN,"Top quality, feels luxurious. Love spatial audio feature. Beautiful white-baby-pink. Works USB-C Jack. The thing I would say, maybe new feels bit stiff/tight around head.",0.0,0.68,0.32,0.872,1
38,38,38,If u want semi noise canceling get these!,Great quality! Just a little muffled no bass. Came with 52% battery! Works with Samsung phone pretty comfortable 👌 hurts when u wear it with one ear...... even with both on after a while. But over ask great!,4,B0CZPHPJLN,Great quality! Just little muffled bass. Came 52% battery! Works Samsung phone pretty comfortable 👌 hurts u wear one ear...... even while. But ask great!,0.061,0.539,0.399,0.9057,1
39,39,39,It’s nude pink not Barbie pink,Package is nice. The color isn’t really pink pink as shown but it works and I like it. Mistakenly thought I didn’t get the cables but they are on the side of the pouch.,4,B0CZPHPJLN,Package nice. The color isn’t really pink pink shown works I like it. Mistakenly thought I didn’t get cables side pouch.,0.094,0.681,0.226,0.4767,1
40,40,40,Great for travel!,"This travel charger is helpful on long travel days or for a quick charge when my cable isn’t near. I can pack it in my work bag for emergencies. There is a button you press that shows 1-4 little lights which shows how much charge it has. I like how it’s adaptable to my phone and others in my family with other cables (iPhone 13 and iPhone 15). Overall, good purchase and helpful to have.",5,B0C58MS6HF,"This travel charger helpful long travel days quick charge cable isn’t near. I pack work bag emergencies. There button press shows 1-4 little lights shows much charge has. I like it’s adaptable phone others family cables (iPhone 13 iPhone 15). Overall, good purchase helpful have.",0.0,0.78,0.22,0.875,1
41,41,41,A Travel Must-Have!,"Calling all tech-savvy travelers and style enthusiasts! The Anker 321 MagGo Battery Pack (PowerCore Magnetic 5K) is a game-changer in the world of portable charging. And trust me, it's as functional as it is eye-catching.

First off, the design is stellar. The pink hue is not just adorable; it adds a touch of chic to your tech ensemble. It's the kind of accessory that doesn't just power up your phone—it powers up your style game too. But don't let its looks fool you. This little powerhouse packs a punch with its 5,000mAh capacity, ensuring your phone stays juiced up when you're on the move.

Its lightness and slim profile are perfect for anyone who's ever faced the dilemma of a dying phone and no outlet in sight. It slips into your bag or pocket effortlessly, making it ideal for those who prioritize convenience and portability.

And can we talk about the out-of-the-box experience? Anker gets it right by sending their chargers semi-charged. It's a small detail, but it means you can test its efficiency right away—a godsend for the impatient among us.

I've already planned to make it my travel buddy for my upcoming Europe trip, and yes, I've snagged another one for my boyfriend (in black, naturally). If you're looking for a reliable, stylish, and compact battery pack, your search ends here.
------------
¡Atención a todos los viajeros con conocimientos tecnológicos y amantes del estilo! La Batería Portátil Anker 321 MagGo (PowerCore Magnético 5K) es un cambio de juego en el mundo de la carga portátil. Y créanme, es tan funcional como atractiva.

Primero, el diseño es excepcional. El tono rosa no es solo adorable; añade un toque chic a tu conjunto tecnológico. Es el tipo de accesorio que no solo carga tu teléfono—también carga tu juego de estilo. Pero no dejes que su apariencia te engañe. Esta pequeña central eléctrica tiene una capacidad de 5,000mAh, asegurando que tu teléfono se mantenga cargado cuando estás en movimiento.

Su ligereza y perfil delgado son perfectos para cualquiera que haya enfrentado el dilema de un teléfono a punto de morir y sin un enchufe a la vista. Se desliza en tu bolso o bolsillo sin esfuerzo, lo que lo hace ideal para aquellos que priorizan la conveniencia y la portabilidad.

¿Y podemos hablar de la experiencia directa de la caja? Anker acierta enviando sus cargadores semi-cargados. Es un pequeño detalle, pero significa que puedes probar su eficiencia de inmediato, una bendición para los impacientes entre nosotros.

Ya he planeado hacerlo mi compañero de viaje para mi próximo viaje a Europa, y sí, he conseguido otro para mi novio (en negro, por supuesto). Si buscas una batería portátil confiable, elegante y compacta, tu búsqueda termina aquí.",5,B0C58MS6HF,"Calling tech-savvy travelers style enthusiasts! The Anker 321 MagGo Battery Pack (PowerCore Magnetic 5K) game-changer world portable charging. And trust me, functional eye-catching. First off, design stellar. The pink hue adorable; adds touch chic tech ensemble. It's kind accessory power phone—it powers style game too. But let looks fool you. This little powerhouse packs punch 5,000mAh capacity, ensuring phone stays juiced move. Its lightness slim profile perfect anyone who's ever faced dilemma dying phone outlet sight. It slips bag pocket effortlessly, making ideal prioritize convenience portability. And talk out-of-the-box experience? Anker gets right sending chargers semi-charged. It's small detail, means test efficiency right away—a godsend impatient among us. I've already planned make travel buddy upcoming Europe trip, yes, I've snagged another one boyfriend (in black, naturally). If looking reliable, stylish, compact battery pack, search ends here. ------------ ¡Atención todos los viajeros con conocimientos tecnológicos amantes del estilo! La Batería Portátil Anker 321 MagGo (PowerCore Magnético 5K) es un cambio de juego en el mundo de la carga portátil. Y créanme, es tan funcional como atractiva. Primero, el diseño es excepcional. El tono rosa es solo adorable; añade un toque chic tu conjunto tecnológico. Es el tipo de accesorio que solo carga tu teléfono—también carga tu juego de estilo. Pero dejes que su apariencia te engañe. Esta pequeña central eléctrica tiene una capacidad de 5,000mAh, asegurando que tu teléfono se mantenga cargado cuando estás en movimiento. Su ligereza perfil delgado son perfectos para cualquiera que haya enfrentado el dilema de un teléfono punto de morir sin un enchufe la vista. Se desliza en tu bolso bolsillo sin esfuerzo, lo que lo hace ideal para aquellos que priorizan la conveniencia la portabilidad. ¿Y podemos hablar de la experiencia directa de la caja? Anker acierta enviando sus cargadores semi-cargados. Es un pequeño detalle, pero significa que puedes probar su eficiencia de inmediato, una bendición para los impacientes entre nosotros. Ya planeado hacerlo mi compañero de viaje para mi próximo viaje Europa, sí, conseguido otro para mi novio (en negro, por supuesto). Si buscas una batería portátil confiable, elegante compacta, tu búsqueda termina aquí.",0.047,0.835,0.118,0.9798,1
42,42,42,"Compact, portable and versatile charger","I’ve gone through a few battery packs over the years and this one is by far my favorite. The form factor is fairly small but still big enough to deliver a lot of charge. It fits nicely on the back of my iPhone for wireless charging and is small enough to fit in a small sling bag.

My original unit stopped working about three months into use (during the middle of a trip) but I recently called Anker to get a replacement. The representative on the phone put things in motion very quickly and I had a (gently used) replacement shipped to my doorstep within 24 hours.",4,B0C58MS6HF,I’ve gone battery packs years one far favorite. The form factor fairly small still big enough deliver lot charge. It fits nicely back iPhone wireless charging small enough fit small sling bag. My original unit stopped working three months use (during middle trip) I recently called Anker get replacement. The representative phone put things motion quickly I (gently used) replacement shipped doorstep within 24 hours.,0.027,0.822,0.152,0.8316,1
43,43,43,Works well,"I usually get two full charges out of it before I have to charge it. It is a nice size to put in my purse but a little heavy, I do understand why. Love the color, it’s easy to find in my purse. Oh! And it charges quickly, faster than a regular charge.",5,B0C58MS6HF,"I usually get two full charges I charge it. It nice size put purse little heavy, I understand why. Love color, it’s easy find purse. Oh! And charges quickly, faster regular charge.",0.109,0.625,0.265,0.7901,1
44,44,44,Great charger bank,Great value for the money. I bought it for travel but I also use it at home to speed up the charging process.  It will be a little heavy to carry around it is small and easy to put in any handbag. I had to get a magnetic phone case but that was only $10,5,B0C58MS6HF,Great value money. I bought travel I also use home speed charging process. It little heavy carry around small easy put handbag. I get magnetic phone case $10,0.0,0.701,0.299,0.8555,1
45,45,45,Solid charger without the need for cables,"Seems like every couple years I'm buying a portable battery but I always end up buying cheap ones. This one is solid quality, and it's very convenient being wireless charging as well. Work's great with MagSafe cases, though the magnet truly works the best without a case. Best portable charger I've ever owned.",5,B0C58MS6HF,"Seems like every couple years I'm buying portable battery I always end buying cheap ones. This one solid quality, convenient wireless charging well. Work's great MagSafe cases, though magnet truly works best without case. Best portable charger I've ever owned.",0.064,0.606,0.33,0.9191,1
